Electricity:Facility_mean,Electricity:Facility_std,Fans:Electricity_mean,Fans:Electricity_std,InteriorLights:Electricity_mean,InteriorLights:Electricity_std,type_building,Cluster_KMeans,Cluster_DBSCAN,Cluster_Hierarchical
-0.5747121802465458,-0.6603223405538267,-0.6813550670603146,-0.6583443702220081,-0.7196224650183995,-0.6644629899801914,RefBldgMidriseApartmentNew2004,0,3,0
-0.5737191139185699,-0.658855979236187,-0.678896283055888,-0.6658904860721747,-0.7196224650183995,-0.6644629899801914,RefBldgMidriseApartmentNew2004,0,3,0
-0.144596492437747,-0.19048952125642168,0.4963586785895516,-0.17112822982097717,-0.37204464564591855,-0.4087648627814021,RefBldgOutPatientNew2004,0,4,0
-0.14479068084534127,-0.1869598448119327,0.49525674621423754,-0.1602358818862467,-0.37204464564591855,-0.4087648627814021,RefBldgOutPatientNew2004,0,4,0
-0.1374435665076847,-0.1790913746534696,0.4947218221691084,-0.15357856011644172,-0.37204464564591855,-0.4087648627814021,RefBldgOutPatientNew2004,0,4,0
-0.16118829630479187,-0.20100027179986393,0.47965370275935293,-0.18643100048604452,-0.37204464564591855,-0.4087648627814021,RefBldgOutPatientNew2004,0,4,0
-0.16461143582849092,-0.21163543388779077,0.4826821654436688,-0.18313313096608966,-0.37204464564591855,-0.4087648627814021,RefBldgOutPatientNew2004,0,4,0
-0.44243630230187797,-0.21928303139599967,-0.6472749242750312,-0.18484917541368023,-0.2297351392463605,-0.06239475590312717,RefBldgPrimarySchoolNew2004,0,5,0
-0.4455529357942386,-0.20556974348098533,-0.6626479077725791,-0.17613012942046066,-0.2297351392463605,-0.06239475590312717,RefBldgPrimarySchoolNew2004,0,5,0
-0.4431083339278519,-0.18636874842865297,-0.6587539833505172,-0.1656217431275989,-0.2297351392463605,-0.06239475590312717,RefBldgPrimarySchoolNew2004,0,5,0
-0.4519460497400742,-0.26437408792060646,-0.5928402126789623,-0.2587938724657978,-0.2297351392463605,-0.06239475590312717,RefBldgPrimarySchoolNew2004,0,-1,0
-0.45423678932261674,-0.2637134085615956,-0.6517020217095459,-0.23217796839108532,-0.2297351392463605,-0.06239475590312717,RefBldgPrimarySchoolNew2004,0,-1,0
-0.5740184393351172,-0.680392665397132,-0.6306982297957309,-0.6852230711126955,-0.7243179883988141,-0.7044183894012631,RefBldgQuickServiceRestaurantNew2004,0,6,0
-0.5737551031622941,-0.6794609368644492,-0.6307652728737453,-0.6852723140340441,-0.7243179883988141,-0.7044183894012631,RefBldgQuickServiceRestaurantNew2004,0,6,0
-0.5734732149338616,-0.6779126433823691,-0.6307977711043445,-0.6853037619233068,-0.7243179883988141,-0.7044183894012631,RefBldgQuickServiceRestaurantNew2004,0,6,0
-0.5769091934978623,-0.6836457169327487,-0.6305056162613285,-0.6850297929464565,-0.7243179883988141,-0.7044183894012631,RefBldgQuickServiceRestaurantNew2004,0,6,0
-0.5766848131967822,-0.6835253533420654,-0.630223175001783,-0.6848001480747,-0.7243179883988141,-0.7044183894012631,RefBldgQuickServiceRestaurantNew2004,0,6,0
0.14277344260913225,1.8210625128535023,-0.3168292220212075,3.354448914282943,0.8955629273703907,1.1030811669458165,RefBldgSecondarySchoolNew2004,1,-1,3
0.12944813215082313,1.9164228370164187,-0.39679485100597794,3.394743207269573,0.8955629273703907,1.1030811669458165,RefBldgSecondarySchoolNew2004,1,-1,3
0.262102882989144,1.9874829069068185,-0.37245997590210966,3.4038287811205437,0.8955629273703907,1.1030811669458165,RefBldgSecondarySchoolNew2004,1,-1,3
-0.09423611227004729,1.6509486337995798,-0.18839113641764957,3.224744241050955,0.8955629273703907,1.1030811669458165,RefBldgSecondarySchoolNew2004,1,-1,3
-0.06382049473297609,1.6097809907409424,-0.329859649040413,3.278266476646701,0.8955629273703907,1.1030811669458165,RefBldgSecondarySchoolNew2004,1,-1,3
-0.41582401197530305,-0.5596168651111818,-0.4654625305983046,-0.6839534069060766,-0.11254554014487651,-0.5509326851553227,RefBldgSmallHotelNew2004,0,7,0
-0.4154615823641651,-0.5567139786053305,-0.4619282035740872,-0.6826249561309963,-0.11254554014487651,-0.5509326851553227,RefBldgSmallHotelNew2004,0,7,0
-0.4078533455962115,-0.5529317131566702,-0.4582893849516244,-0.6791005894427459,-0.11254554014487651,-0.5509326851553227,RefBldgSmallHotelNew2004,0,7,0
-0.4149488959121545,-0.5685960725142094,-0.4687853555159733,-0.696624466682535,-0.11254554014487651,-0.5509326851553227,RefBldgSmallHotelNew2004,0,7,0
-0.4229650567275948,-0.5676770686749516,-0.47085595831686894,-0.6907557030941064,-0.11254554014487651,-0.5509326851553227,RefBldgSmallHotelNew2004,0,7,0
-0.6402175383252068,-0.704727134615458,-0.6288324803153245,-0.6553389876341302,-0.8529943756457872,-0.6877687667597796,RefBldgSmallOfficeNew2004,0,8,0
-0.6402362505492526,-0.704127986103792,-0.6290498625173354,-0.6552367936143428,-0.8529943756457872,-0.6877687667597796,RefBldgSmallOfficeNew2004,0,8,0
-0.6402252048278756,-0.7035979002845111,-0.6289215430172136,-0.6548889116728042,-0.8529943756457872,-0.6877687667597796,RefBldgSmallOfficeNew2004,0,8,0
-0.6403047888243971,-0.7065221296138124,-0.6298460800671306,-0.6583910251998929,-0.8529943756457872,-0.6877687667597796,RefBldgSmallOfficeNew2004,0,8,0
-0.6403876191869319,-0.706553490767109,-0.6296558220902521,-0.6570004492157304,-0.8529943756457872,-0.6877687667597796,RefBldgSmallOfficeNew2004,0,8,0
-0.5339168813118621,-0.5376714485748206,-0.19185887548658243,-0.10185774710596708,-0.4089411745896623,-0.4180366127777764,RefBldgStand-aloneRetailNew2004,0,9,0
-0.5339026715746723,-0.5346561854914019,-0.19234094056503667,-0.10132740649650027,-0.4089411745896623,-0.4180366127777764,RefBldgStand-aloneRetailNew2004,0,9,0
-0.5331581398465743,-0.5287988253859908,-0.1931169007707776,-0.10276072250917334,-0.4089411745896623,-0.4180366127777764,RefBldgStand-aloneRetailNew2004,0,9,0
-0.535356759073556,-0.5540368460465918,-0.20265907588830823,-0.11907797609951101,-0.4089411745896623,-0.4180366127777764,RefBldgStand-aloneRetailNew2004,0,9,0
-0.5350976162209514,-0.5539203849094019,-0.19964858158272258,-0.11225672865629678,-0.4089411745896623,-0.4180366127777764,RefBldgStand-aloneRetailNew2004,0,9,0
-0.557446623317915,-0.5714180185788508,-0.3539989297547598,-0.3085138492464866,-0.42989155316009303,-0.4320976583065975,RefBldgStripMallNew2004,0,10,0
-0.5574821056483724,-0.5686675578534723,-0.3544111323391533,-0.30790627407665444,-0.42989155316009303,-0.4320976583065975,RefBldgStripMallNew2004,0,10,0
-0.5574994358450344,-0.5629355430715336,-0.3546124593608005,-0.3084353840069508,-0.42989155316009303,-0.4320976583065975,RefBldgStripMallNew2004,0,10,0
-0.559473671458595,-0.5884919933628141,-0.37754739664686304,-0.3410269539465006,-0.42989155316009303,-0.4320976583065975,RefBldgStripMallNew2004,0,-1,0
-0.5593105006099041,-0.5889219006244962,-0.37565182088112015,-0.33575490251805057,-0.42989155316009303,-0.4320976583065975,RefBldgStripMallNew2004,0,-1,0
0.05748389332215019,-0.1285739346467489,0.43772009153140806,0.5915315980244461,-0.022244483452692698,-0.1694168375242074,RefBldgSuperMarketNew2004,0,11,0
0.06483494534001276,-0.12303629427098325,0.43650587375868577,0.6013846348347014,-0.022244483452692698,-0.1694168375242074,RefBldgSuperMarketNew2004,0,11,0
0.0724332681059778,-0.11001599054891197,0.4366202764575723,0.6034163202314362,-0.022244483452692698,-0.1694168375242074,RefBldgSuperMarketNew2004,0,11,0
0.04756795394300066,-0.14991303626926378,0.5056071124737495,0.630329743687187,-0.022244483452692698,-0.1694168375242074,RefBldgSuperMarketNew2004,0,-1,0
0.04999865091617944,-0.15543747061763838,0.5138266053904866,0.6639673693218906,-0.022244483452692698,-0.1694168375242074,RefBldgSuperMarketNew2004,0,-1,0
-0.5962182761256868,-0.5556944223697663,-0.5963355376868051,-0.35579286901937285,-0.6522995482875201,-0.3240284905254213,RefBldgWarehouseNew2004,0,12,0
-0.5975258194957841,-0.5545182001109293,-0.6047962591745765,-0.35118851460497214,-0.6522995482875201,-0.3240284905254213,RefBldgWarehouseNew2004,0,12,0
-0.597554808733109,-0.5536781319420842,-0.6087385669450799,-0.3503312144205289,-0.6522995482875201,-0.3240284905254213,RefBldgWarehouseNew2004,0,12,0
-0.594574346236424,-0.5524162538379278,-0.5597524540374959,-0.2438277527414241,-0.6522995482875201,-0.3240284905254213,RefBldgWarehouseNew2004,0,-1,0
-0.5953048156291623,-0.5527984999058722,-0.5851610080616791,-0.24132408986861295,-0.6522995482875201,-0.3240284905254213,RefBldgWarehouseNew2004,0,-1,0
